,check,nEvents,nStreams,time,time_std,time_ave,throughput,tput_std,tput_ave
0,30,10,1.0,"[0.704561, 0.67714, 0.668674, 0.833459]",0.07654839512578517,0.7209585,"[14.1932, 14.768, 14.955, 11.9982]",1.3594786549752567,13.9786
1,31,10,2.0,"[0.414709, 0.400122, 0.397818, 0.380994]",0.013811298065352145,0.39841075,"[24.1133, 24.9924, 25.1371, 26.2471]",0.875661458079929,25.122475
2,32,10,3.0,"[0.359938, 0.454824, 0.447554, 0.41493]",0.043217228458875837,0.4193115,"[27.7826, 21.9865, 22.3437, 24.1005]",2.6523135012978134,24.053325
3,33,10,4.0,"[0.428759, 0.457687, 0.465604, 0.423506]",0.02086711621986454,0.443889,"[23.3231, 21.849, 21.4775, 23.6124]",1.059413929176568,22.5655
4,34,10,5.0,"[0.406333, 0.423566, 0.444707, 0.406865]",0.018091677264698278,0.42036775,"[24.6104, 23.6091, 22.4867, 24.5782]",1.0036204893617238,23.8211
5,35,10,6.0,"[0.433253, 0.405889, 0.428611, 0.418723]",0.01211139595587561,0.421619,"[23.0812, 24.6373, 23.3312, 23.8821]",0.6895108821959718,23.73295
6,36,10,7.0,"[0.42644, 0.431798, 0.462493, 0.419604]",0.01894201866002319,0.43508375,"[23.45, 23.159, 21.6219, 23.832]",0.969222284016073,23.015725
7,37,10,8.0,"[0.424632, 0.423736, 0.439739, 0.44396]",0.010350196757389046,0.43301675,"[23.5498, 23.5996, 22.7408, 22.5246]",0.551354465536162,23.1037
8,38,10,9.0,"[0.420112, 0.448271, 0.445874, 0.430708]",0.013269944972882643,0.43624124999999997,"[23.8032, 22.3079, 22.4279, 23.2176]",0.7033183086862828,22.93915
9,39,10,10.0,"[0.419424, 0.402841, 0.405285, 0.440881]",0.01745327097089063,0.41710775,"[23.8422, 24.8237, 24.674, 22.6819]",0.9823318057900126,24.00545
