,nStreams,time,throughput,nEvents
0,1.0,7.250988,689.561,5000
1,2.0,3.729103,1340.81,5000
2,3.0,4.214079,1186.5,5000
3,4.0,5.911265,845.843,5000
4,5.0,6.850723,729.85,5000
5,6.0,7.105252,703.705,5000
6,7.0,6.391106,782.337,5000
7,8.0,6.2184,804.065,5000
8,9.0,9.041459,553.008,5000
9,10.0,8.981125,556.723,5000
10,11.0,8.590338,582.049,5000
11,12.0,8.194625,610.156,5000
12,13.0,8.328617,600.34,5000
13,14.0,9.355631,534.437,5000
14,15.0,9.366347,533.826,5000
15,16.0,9.524714,524.95,5000
16,17.0,8.898372,561.901,5000
17,18.0,8.695876,574.985,5000
18,19.0,9.55284,523.405,5000
19,20.0,10.18911,490.72,5000
