,nEvents,nStreams,time,time_std,time_ave,throughput,tput_std,tput_ave
0,20000,1.0,"[158.8844, 46.38457, 44.60981, 36.81867]",58.28828798058913,71.6743625,"[125.878, 431.178, 448.332, 543.203]",181.0131658938561,387.14775
1,20000,2.0,"[28.42423, 33.91038, 33.5729, 26.69806]",3.63983956856503,30.6513925,"[703.625, 589.79, 595.719, 749.118]",79.38489724962385,659.563
2,20000,3.0,"[20.25627, 25.3816, 29.28129, 28.46132]",4.086639280297034,25.84512,"[987.349, 787.972, 683.03, 702.708]",139.0598604663354,790.26475
3,20000,4.0,"[28.19936, 25.11962, 30.08935, 26.61213]",2.1329365719980196,27.505115,"[709.236, 796.19, 664.687, 751.537]",56.395063344823626,730.4125
4,20000,5.0,"[26.26681, 25.81754, 29.1544, 34.98959]",4.222336326683763,29.057085,"[761.417, 774.667, 686.003, 571.599]",93.1306876366038,698.4215
5,20000,6.0,"[31.25143, 36.01894, 25.70062, 24.10418]",5.44366359458637,29.2687925,"[639.971, 555.263, 778.191, 829.732]",125.82264323609111,700.78925
6,20000,7.0,"[32.18334, 26.38564, 35.94509, 29.35277]",4.07657783971638,30.96671,"[621.44, 757.988, 556.404, 681.367]",85.9209525256597,654.29975
7,20000,8.0,"[28.6216, 34.82504, 32.97524, 28.90902]",3.061517285982012,31.332725,"[698.773, 574.299, 606.516, 691.826]",62.03609060592608,642.8534999999999
8,20000,9.0,"[37.11799, 36.88477, 27.74524, 30.83101]",4.62898429196136,33.1447525,"[538.822, 542.229, 720.844, 648.698]",88.34608226127895,612.64825
9,20000,10.0,"[32.54064, 29.82592, 35.87177, 30.46741]",2.722366204860518,32.176435,"[614.616, 670.558, 557.542, 656.439]",50.73517122848144,624.7887499999999
10,20000,11.0,"[32.08489, 28.64909, 33.85755, 31.89836]",2.1699860813128895,31.6224725,"[623.346, 698.103, 590.71, 626.992]",45.252463243268096,634.78775
11,20000,12.0,"[30.45836, 31.76247, 39.20258, 26.33789]",5.365180278937511,31.940325,"[656.634, 629.674, 510.17, 759.362]",102.44039856749222,638.96
12,20000,13.0,"[31.81455, 32.08436, 28.55165, 32.93614]",1.923681358896704,31.346674999999998,"[628.643, 623.357, 700.485, 607.236]",41.383838869579684,639.93025
13,20000,14.0,"[27.93022, 31.04171, 34.22439, 32.2815]",2.6405955203640468,31.369455,"[716.07, 644.294, 584.379, 619.55]",55.71467195975703,641.07325
14,20000,15.0,"[28.89361, 37.11049, 30.41547, 31.76487]",3.5741798024908222,32.04611,"[692.195, 538.931, 657.56, 629.626]",65.62713342817892,629.578
15,20000,16.0,"[31.74006, 34.12386, 29.32089, 33.08845]",2.0754145080682087,32.068315,"[630.118, 586.1, 682.108, 604.441]",41.71924414763524,625.69175
16,20000,17.0,"[32.40478, 31.64634, 28.58671, 33.03999]",1.9725550334612563,31.419455,"[617.193, 631.985, 699.626, 605.327]",42.163431979026555,638.53275
17,20000,18.0,"[31.0562, 32.85196, 33.58766, 27.79977]",2.578806716815292,31.3238975,"[643.994, 608.792, 595.457, 719.43]",55.58289999856068,641.91825
18,20000,19.0,"[32.38607, 39.05298, 28.36525, 30.70817]",4.589687093963123,32.6281175,"[617.549, 512.125, 705.088, 651.292]",81.34907765303795,621.5135
19,20000,20.0,"[31.36048, 29.8448, 29.02546, 31.49995]",1.200798222777249,30.4326725,"[637.745, 670.133, 689.05, 634.922]",26.167191117886514,657.9625
20,20000,21.0,"[46.06617, 34.09574, 33.39026, 33.461]",6.21668320253051,36.7532925,"[434.158, 586.584, 598.977, 597.711]",80.32619507358729,554.3575
21,20000,22.0,"[27.22993, 32.52272, 32.44617, 30.90496]",2.4786919737165145,30.775945,"[734.486, 614.955, 616.406, 647.145]",56.15616934347759,653.248
22,20000,23.0,"[34.12385, 30.06253, 32.22407, 32.85218]",1.6972908129796136,32.3156575,"[586.1, 665.28, 620.654, 608.788]",33.293924065310556,620.2055
23,20000,24.0,"[34.02091, 30.76599, 32.00452, 39.26404]",3.7483572627352384,34.013865,"[587.874, 650.069, 624.912, 509.372]",61.36000837339685,593.05675
24,20000,25.0,"[37.30326, 26.4754, 30.26547, 34.83879]",4.813806804079284,32.22073,"[536.146, 755.418, 660.819, 574.073]",97.64812363105945,631.614
