,nEvents,nStreams,time,time_std,time_ave,throughput,tput_std,tput_ave
0,5,1.0,"[0.321453, 0.295409, 0.322711, 0.296124]",0.015204740869763846,0.30892425,"[15.5544, 16.9257, 15.4937, 16.8848]",0.7979958416767172,16.21465
1,5,2.0,"[0.22921, 0.235049, 0.214903, 0.231302]",0.008812818126645602,0.227616,"[21.8141, 21.2722, 23.2663, 21.6168]",0.8783271011796611,21.992350000000002
2,5,3.0,"[0.218518, 0.207789, 0.219963, 0.212849]",0.005580889258591913,0.21477975,"[22.8814, 24.0629, 22.7311, 23.4908]",0.6101935785743181,23.29155
3,5,4.0,"[0.211121, 0.206496, 0.212028, 0.221146]",0.0061310503926053864,0.21269775000000002,"[23.6831, 24.2135, 23.5818, 22.6095]",0.6684204633562117,23.521975
4,5,5.0,"[0.205803, 0.210335, 0.2086, 0.212203]",0.0027203475727683463,0.20923525,"[24.2951, 23.7716, 23.9693, 23.5623]",0.31168019266549546,23.899575
5,5,6.0,"[0.21024, 0.199437, 0.212996, 0.201951]",0.006488236586315267,0.206156,"[23.7823, 25.0706, 23.4746, 24.7585]",0.7637835775488591,24.2715
6,5,7.0,"[0.208046, 0.20663, 0.216594, 0.221716]",0.007159177303759602,0.2132465,"[24.0331, 24.1978, 23.0847, 22.5514]",0.7829461986624622,23.46675
7,5,8.0,"[0.204793, 0.206527, 0.208441, 0.226603]",0.010118292741366997,0.211591,"[24.4149, 24.2099, 23.9876, 22.065]",1.0837067699951553,23.66935
8,5,9.0,"[0.212667, 0.223183, 0.22116, 0.211056]",0.0060453846031497446,0.2170165,"[23.5109, 22.4031, 22.6081, 23.6904]",0.6419390229349414,23.053125
9,5,10.0,"[0.20764, 0.222794, 0.209659, 0.221594]",0.007878486757197309,0.21542175,"[24.0801, 22.4423, 23.8482, 22.5638]",0.8503103629459856,23.2336
10,5,11.0,"[0.228304, 0.219557, 0.21165, 0.210014]",0.008389754759030008,0.21738125,"[21.9006, 22.7731, 23.6239, 23.8079]",0.8754684512686142,23.026375
11,5,12.0,"[0.221597, 0.20356, 0.232578, 0.209938]",0.01283595477230528,0.21691825,"[22.5635, 24.5628, 21.4982, 23.8166]",1.354802886954408,23.110275
12,5,13.0,"[0.209949, 0.220693, 0.228616, 0.231322]",0.009590653262421705,0.222645,"[23.8153, 22.6559, 21.8707, 21.6149]",0.9888162687442672,22.4892
13,5,14.0,"[0.212393, 0.2135, 0.208642, 0.213061]",0.0022185227817927275,0.211899,"[23.5413, 23.4192, 23.9645, 23.4675]",0.24935701814867806,23.598125
14,5,15.0,"[0.207632, 0.220549, 0.214391, 0.224114]",0.007241985294102714,0.21667150000000002,"[24.0811, 22.6707, 23.3219, 22.3101]",0.778882042845171,23.09595
15,5,16.0,"[0.207948, 0.209591, 0.205228, 0.219954]",0.006438973125946929,0.21068025,"[24.0445, 23.856, 24.3631, 22.732]",0.7095014728666883,23.7489
16,5,17.0,"[0.209727, 0.208743, 0.206863, 0.203271]",0.002846493983833444,0.207151,"[23.8405, 23.9529, 24.1706, 24.5977]",0.3342312510323756,24.140425
17,5,18.0,"[0.194743, 0.214619, 0.232207, 0.208252]",0.015558540556556068,0.21245524999999998,"[25.6749, 23.2971, 21.5325, 24.0094]",1.7161856666747928,23.628475
18,5,19.0,"[0.200219, 0.22192, 0.208051, 0.205015]",0.009321215599373291,0.20880125,"[24.9727, 22.5306, 24.0326, 24.3885]",1.0417689795087328,23.981099999999998
19,5,20.0,"[0.214681, 0.206284, 0.20523, 0.209386]",0.0042414000341868315,0.20889525,"[23.2904, 24.2384, 24.3629, 23.8793]",0.4808053556274086,23.94275
