,nEvents,nStreams,time,time_std,time_ave,throughput,tput_std,tput_ave
0,20000,1.0,"[1631.966, 1578.569, 1581.521, 1509.318]",50.37869759134308,1575.3435,"[12.2552, 12.6697, 12.6461, 13.251]",0.4103455210754302,12.7055
1,20000,2.0,"[712.2015, 711.8507, 722.6847, 730.3093]",8.91694528617659,719.2615499999999,"[28.0819, 28.0958, 27.6746, 27.3857]",0.3434986171733449,27.8095
2,20000,3.0,"[499.5006, 499.7714, 507.4574, 502.3859]",3.6893910232584375,502.278825,"[40.04, 40.0183, 39.4122, 39.81]",0.29104619765024825,39.820125000000004
3,20000,4.0,"[383.3229, 384.8372, 386.7545, 389.9597]",2.862188117944031,386.218575,"[52.1753, 51.97, 51.7124, 51.2874]",0.3827223133900962,51.786275
4,20000,5.0,"[322.8667, 323.9055, 327.8374, 331.603]",3.989580061861154,326.55315,"[61.9451, 61.7464, 61.0059, 60.3131]",0.7454117044738879,61.252624999999995
5,20000,6.0,"[281.6039, 287.7428, 288.2568, 305.6796]",10.356694502389903,290.820775,"[71.0217, 69.5065, 69.3826, 65.428]",2.3902638306262345,68.8347
6,20000,7.0,"[282.0389, 277.1861, 284.5213, 288.3957]",4.695673100490124,283.0355,"[70.9122, 72.1537, 70.2935, 69.3492]",1.1755972850711556,70.67715
7,20000,8.0,"[271.3796, 267.4553, 275.9734, 280.8074]",5.770548066041894,273.903925,"[73.6975, 74.7789, 72.4708, 71.2232]",1.5363162977286466,73.0426
8,20000,9.0,"[256.1486, 260.747, 266.9842, 270.9685]",6.5665904300354665,263.712075,"[78.0797, 76.7027, 74.9108, 73.8093]",1.8923165650862999,75.875625
9,20000,10.0,"[253.0513, 255.8792, 260.804, 268.0191]",6.556325874044589,259.4384,"[79.0354, 78.1619, 76.686, 74.6215]",1.9308907495419478,77.1262
10,20000,11.0,"[249.7567, 252.7941, 255.0792, 258.6622]",3.7567373242393862,254.07305,"[80.0779, 79.1158, 78.407, 77.3209]",1.1626933129591843,78.7304
11,20000,12.0,"[241.6435, 249.0181, 253.0309, 266.4093]",10.38805580703145,252.52544999999998,"[82.7666, 80.3154, 79.0417, 75.0725]",3.2138670502475115,79.29905
12,20000,13.0,"[248.0594, 169.4074, 120.9072, 120.5482]",60.10584060635595,164.73055,"[80.6258, 118.059, 165.416, 165.909]",41.22741571507161,132.50245
13,20000,14.0,"[111.2654, 111.2997, 111.9264, 110.397]",0.6284173633024452,111.222125,"[179.75, 179.695, 178.689, 181.164]",1.0175036445471146,179.8245
14,20000,15.0,"[108.2202, 106.9496, 106.682, 106.6466]",0.74281965509806,107.1246,"[184.808, 187.004, 187.473, 187.535]",1.2866926594956591,186.70499999999998
15,20000,16.0,"[99.62487, 100.7409, 100.8193, 99.08092]",0.8539961345101783,100.0664975,"[200.753, 198.529, 198.375, 201.855]",1.7081143599497806,199.878
16,20000,17.0,"[97.50897, 97.93567, 97.15363, 97.14787]",0.37316006337763424,97.436535,"[205.109, 204.216, 205.86, 205.872]",0.7846886325161111,205.26425
17,20000,18.0,"[92.39454, 92.94543, 92.44227, 92.21034]",0.31451104956741965,92.498145,"[216.463, 215.18, 216.351, 216.895]",0.7333518368877693,216.22225
18,20000,19.0,"[89.15948, 88.64069, 88.88229, 89.56749]",0.39783553556505497,89.0624875,"[224.317, 225.63, 225.017, 223.295]",1.0021531403267026,224.56475
19,20000,20.0,"[84.45553, 83.96862, 84.29013, 84.57894]",0.2644079762412619,84.323305,"[236.811, 238.184, 237.276, 236.465]",0.7448834360712614,237.184
20,20000,21.0,"[82.97745, 83.10435, 83.58984, 83.07589]",0.27408494271849043,83.1868825,"[241.029, 240.661, 239.264, 240.744]",0.7895553601025438,240.4245
