,nEvents,nStreams,time,time_std,time_ave,throughput,tput_std,tput_ave
0,10000,1.0,"[11.82767, 11.6582, 13.55492, 23.62838]",5.705452227985527,15.1672925,"[845.475, 857.765, 737.739, 423.22]",202.52884030902035,716.04975
1,10000,2.0,"[13.68728, 13.36631, 17.69268, 14.42706]",1.9832731210698975,14.7933325,"[730.605, 748.15, 565.206, 693.142]",82.62875805422306,684.27575
2,10000,3.0,"[10.23573, 10.48729, 10.79935, 11.36074]",0.4849443710622899,10.7207775,"[976.97, 953.535, 925.982, 880.225]",41.569016258105826,934.178
3,10000,4.0,"[8.803877, 8.717828, 8.769732, 10.35332]",0.7955408528531077,9.16118925,"[1135.86, 1147.07, 1140.29, 965.874]",87.72087791588342,1097.2735
4,10000,5.0,"[8.227256, 7.964945, 7.602529, 8.942674]",0.5667305191105677,8.184351,"[1215.47, 1255.5, 1315.35, 1118.23]",82.82280417654705,1226.1375
5,10000,6.0,"[7.121796, 7.230122, 7.115205, 7.767266]",0.31028516800450434,7.30859725,"[1404.14, 1383.1, 1405.44, 1287.45]",55.998932951143516,1370.0325
6,10000,7.0,"[7.110539, 7.12607, 7.349368, 7.409271]",0.1528001100675869,7.248812,"[1406.36, 1403.3, 1360.66, 1349.66]",29.053345762579475,1379.995
7,10000,8.0,"[6.842364, 7.059297, 6.935233, 6.867415]",0.09709187633156198,6.9260772500000005,"[1461.48, 1416.57, 1441.91, 1456.15]",20.08268636578953,1444.0275000000001
8,10000,9.0,"[6.455951, 7.548602, 5.95925, 6.710635]",0.6644715897034273,6.6686095,"[1548.96, 1324.75, 1678.06, 1490.17]",146.59683454972688,1510.4850000000001
9,10000,10.0,"[6.33344, 6.403952, 6.512013, 6.341964]",0.08234544680541414,6.39784225,"[1578.92, 1561.54, 1535.62, 1576.8]",19.962371268631117,1563.22
10,10000,11.0,"[6.31067, 7.425485, 6.321551, 6.366025]",0.5468926434139063,6.60593275,"[1584.62, 1346.71, 1581.89, 1570.84]",116.35595572781536,1521.0149999999999
11,10000,12.0,"[6.399601, 6.29809, 6.38369, 6.299816]",0.053913415321080425,6.34529925,"[1562.6, 1587.78, 1566.49, 1587.35]",13.3862977206794,1576.0549999999998
12,10000,13.0,"[6.251868, 6.299328, 6.340462, 6.352127]",0.04543220966359294,6.31094625,"[1599.52, 1587.47, 1577.17, 1574.28]",11.438971398979296,1584.6100000000001
13,10000,14.0,"[6.276954, 6.351822, 6.342826, 6.260671]",0.04596044561993851,6.30806825,"[1593.13, 1574.35, 1576.58, 1597.27]",11.554601897079861,1585.3325
14,10000,15.0,"[6.313899, 6.310449, 6.292617, 6.333787]",0.016876931830163974,6.312688,"[1583.81, 1584.67, 1589.16, 1578.83]",4.234157728128138,1584.1175
15,10000,16.0,"[6.230933, 6.245217, 6.347422, 6.39081]",0.07792094130377691,6.3035955,"[1604.9, 1601.23, 1575.44, 1564.75]",19.586503856822794,1586.58
16,10000,17.0,"[6.300332, 6.281638, 6.277428, 6.179707]",0.05429970547725543,6.25977625,"[1587.22, 1591.94, 1593.01, 1618.2]",13.966720863061125,1597.5925
17,10000,18.0,"[6.320967, 6.264275, 7.227706, 6.230476]",0.47935612675824524,6.510856,"[1582.04, 1596.35, 1383.56, 1605.01]",105.87783431861459,1541.74
18,10000,19.0,"[6.380596, 6.326683, 5.563035, 6.487053]",0.42282105772487644,6.1893417500000005,"[1567.25, 1580.61, 1797.58, 1541.53]",118.34157718936596,1621.7424999999998
19,10000,20.0,"[6.316181, 7.414512, 6.310405, 6.333088]",0.547394955531805,6.5935465,"[1583.24, 1348.71, 1584.68, 1579.01]",116.82478589751405,1523.91
