,nEvents,nStreams,time,time_std,time_ave,throughput,tput_std,tput_ave
0,5,1.0,"[0.052165, 0.033553, 0.034232, 0.035595]",0.008893127060638833,0.03888625,"[95.8497, 149.018, 146.062, 140.469]",24.92008914288163,132.849675
1,5,2.0,"[0.020082, 0.022085, 0.031047, 0.028214]",0.0051338795596832364,0.025357,"[248.979, 226.398, 161.046, 177.217]",41.17346900614521,203.41
2,5,3.0,"[0.025883, 0.026696, 0.029588, 0.027103]",0.0015963743295355258,0.0273175,"[193.177, 187.294, 168.987, 184.481]",10.321940462755377,183.48475
3,5,4.0,"[0.024269, 0.024397, 0.028553, 0.022691]",0.00250673991470994,0.0249775,"[206.024, 204.943, 175.113, 220.352]",19.008295048916583,201.608
4,5,5.0,"[0.03627, 0.031746, 0.029443, 0.028933]",0.003346427846724522,0.031598,"[137.855, 157.5, 169.82, 172.813]",15.877073176963904,159.49699999999999
5,5,6.0,"[0.026899, 0.028379, 0.028293, 0.026102]",0.0011091081627445842,0.027418249999999998,"[185.881, 176.187, 176.722, 191.556]",7.45322348607187,182.5865
6,5,7.0,"[0.040721, 0.023848, 0.025265, 0.026816]",0.007800414540266434,0.0291625,"[122.787, 209.661, 197.902, 186.456]",38.78450472804828,179.2015
7,5,8.0,"[0.027516, 0.032964, 0.024431, 0.026601]",0.0036290943773894884,0.027878,"[181.712, 151.681, 204.658, 187.963]",22.11546207973054,181.5035
8,5,9.0,"[0.028599, 0.030036, 0.024057, 0.024312]",0.003022840055312223,0.026751,"[174.831, 166.467, 207.84, 205.66]",21.139509999051537,188.6995
9,5,10.0,"[0.030286, 0.028229, 0.024793, 0.026224]",0.0023940555549109553,0.027383,"[165.093, 177.123, 201.67, 190.665]",15.925807177345831,183.63774999999998
10,5,11.0,"[0.024727, 0.029083, 0.030206, 0.026436]",0.0024899045497100225,0.027613,"[202.208, 171.922, 165.53, 189.136]",16.65287102374042,182.199
11,5,12.0,"[0.031384, 0.023997, 0.024486, 0.023739]",0.0036681045513998105,0.0259015,"[159.317, 208.359, 204.198, 210.624]",24.350851792083166,195.6245
12,5,13.0,"[0.029507, 0.025973, 0.03497, 0.024007]",0.004809556970241646,0.02861425,"[169.451, 192.508, 142.98, 208.273]",28.437388288425275,178.303
13,5,14.0,"[0.027347, 0.030281, 0.028368, 0.024762]",0.0022995504633152395,0.0276895,"[182.835, 165.12, 176.255, 201.922]",15.434273311907711,181.53300000000002
14,5,15.0,"[0.032663, 0.030774, 0.028718, 0.022926]",0.00421610028146074,0.028770249999999997,"[153.078, 162.475, 174.107, 218.093]",28.753124785258844,176.93824999999998
15,5,16.0,"[0.026549, 0.025936, 0.029065, 0.024219]",0.002007431422655993,0.02644225,"[188.331, 192.782, 172.028, 206.449]",14.18973155724473,189.8975
16,5,17.0,"[0.028902, 0.025296, 0.025455, 0.0269]",0.0016728013181486925,0.02663825,"[172.998, 197.66, 196.425, 185.874]",11.454942786849708,188.23925
17,5,18.0,"[0.026444, 0.027596, 0.027325, 0.027332]",0.0005029077947298093,0.027174249999999997,"[189.079, 181.186, 182.983, 182.936]",3.4579742624837455,184.046
18,5,19.0,"[0.02818, 0.027341, 0.033648, 0.026621]",0.0031977701084766334,0.0289475,"[177.431, 182.876, 148.597, 187.822]",17.57634263245153,174.1815
19,5,20.0,"[0.029375, 0.024631, 0.026736, 0.031644]",0.0030594100193773737,0.0280965,"[170.213, 202.996, 187.014, 158.008]",19.63554009740162,179.55775
