,nEvents,nStreams,time,time_std,time_ave,throughput,tput_std,tput_ave
0,5,1.0,"[0.247357, 0.242978, 0.237996, 0.255584]",0.00745853423379329,0.24597875,"[20.2137, 20.578, 21.0088, 19.563]",0.6119953887353518,20.340875
1,5,2.0,"[0.16806, 0.184814, 0.15477, 0.178401]",0.01312265713375154,0.17151125,"[29.7513, 27.0542, 32.306, 28.0267]",2.302438085305804,29.28455
2,5,3.0,"[0.150003, 0.151154, 0.151043, 0.141449]",0.0046710232551337265,0.14841225,"[33.3327, 33.0788, 33.1032, 35.3484]",1.094409449200799,33.715775
3,5,4.0,"[0.111887, 0.104563, 0.133468, 0.13306]",0.014763188917032799,0.1207445,"[44.6879, 47.8181, 37.4622, 37.577]",5.2018567550442985,41.8863
4,5,5.0,"[0.121165, 0.114479, 0.131269, 0.132256]",0.008508347327771714,0.12479225,"[41.266, 43.6761, 38.0897, 37.8055]",2.7932224954640934,40.209325
5,5,6.0,"[0.086215, 0.138674, 0.126369, 0.133348]",0.023829770994843125,0.1211515,"[57.9945, 36.0558, 39.5667, 37.4959]",10.246021552900425,42.778225
6,5,7.0,"[0.092733, 0.13125, 0.116786, 0.12961]",0.01779131599732484,0.11759475,"[53.9182, 38.0952, 42.8134, 38.5773]",7.356774087589841,43.351025
7,5,8.0,"[0.125025, 0.138837, 0.143667, 0.146388]",0.009497471676714806,0.13847925,"[39.992, 36.0135, 34.8027, 34.1558]",2.616519519004841,36.241
8,5,9.0,"[0.132809, 0.147193, 0.115976, 0.138445]",0.013158958909554104,0.13360575,"[37.6481, 33.969, 43.1124, 36.1154]",3.9041679236212845,37.711225
9,5,10.0,"[0.118828, 0.114662, 0.112654, 0.149878]",0.01743894403339836,0.1240055,"[42.0776, 43.6064, 44.3837, 33.3605]",5.088686466073537,40.85705
10,5,11.0,"[0.132484, 0.116479, 0.112069, 0.113069]",0.009495396582028573,0.11852525,"[37.7404, 42.9262, 44.6154, 44.2208]",3.1733109123857783,42.3757
11,5,12.0,"[0.140669, 0.123119, 0.132252, 0.12839]",0.007392182830531175,0.1311075,"[35.5444, 40.6111, 37.8066, 38.9438]",2.126876651140508,38.226475
12,5,13.0,"[0.119721, 0.117764, 0.128326, 0.138791]",0.009594909987418678,0.1261505,"[41.7638, 42.4578, 38.9633, 36.0254]",2.936440975483759,39.802575
13,5,14.0,"[0.118252, 0.120218, 0.126175, 0.166769]",0.02285988600875633,0.1328535,"[42.2826, 41.5911, 39.6275, 29.9816]",5.704690550181783,38.3707
14,5,15.0,"[0.145742, 0.124817, 0.10248, 0.120963]",0.017745589320541977,0.1235005,"[34.3072, 40.0586, 48.79, 41.335]",5.955834943985603,41.1227
15,5,16.0,"[0.130359, 0.133702, 0.126314, 0.116045]",0.007660683302856648,0.126605,"[38.3556, 37.3966, 39.5839, 43.0867]",2.4873485923770313,39.6057
16,5,17.0,"[0.122442, 0.118241, 0.107301, 0.136242]",0.011967453655644548,0.1210565,"[40.8357, 42.2865, 46.5979, 36.6994]",4.084532876086731,41.604875
17,5,18.0,"[0.124103, 0.129974, 0.12975, 0.152904]",0.012773010748579734,0.13418275000000002,"[40.2891, 38.4692, 38.5356, 32.7003]",3.307970500170762,37.49855
18,5,19.0,"[0.133214, 0.144635, 0.114944, 0.120733]",0.013248839911479049,0.1283815,"[37.5336, 34.5698, 43.4994, 41.4137]",3.9828478499477398,39.254125
19,5,20.0,"[0.129927, 0.129321, 0.110668, 0.123863]",0.00894371572204006,0.12344474999999999,"[38.4831, 38.6635, 45.1802, 40.3672]",3.1220781935542017,40.6735
