,nEvents,nStreams,time,time_std,time_ave,throughput,tput_std,tput_ave
0,3,1.0,"[0.046999, 0.024892, 0.019388, 0.020574]",0.012909018588439118,0.02796325,"[63.8311, 120.521, 154.735, 145.815]",40.91512993220438,121.225525
1,3,2.0,"[0.01717, 0.016871, 0.016636, 0.015683]",0.0006429427138815204,0.01659,"[174.723, 177.82, 180.332, 191.29]",7.207326058717378,181.04125
2,3,3.0,"[0.021521, 0.025442, 0.020574, 0.025687]",0.0026382889657250723,0.023306,"[139.399, 117.915, 145.815, 116.791]",14.820916885717066,129.98
3,3,4.0,"[0.020094, 0.019947, 0.022291, 0.01988]",0.0011621087155110168,0.020553,"[149.298, 150.399, 134.583, 150.905]",7.8375987553586866,146.29625
4,3,5.0,"[0.019499, 0.020324, 0.024185, 0.020458]",0.0020891526990624706,0.0211165,"[153.854, 147.609, 124.044, 146.642]",13.059361224169178,143.03725
5,3,6.0,"[0.02127, 0.022055, 0.020434, 0.020833]",0.0006943951804748267,0.021148,"[141.044, 136.024, 146.814, 144.002]",4.611787361388927,141.971
6,3,7.0,"[0.022166, 0.022915, 0.022561, 0.01903]",0.0017850775893501116,0.021668,"[135.342, 130.919, 132.973, 157.646]",12.41622554026248,139.22
7,3,8.0,"[0.021334, 0.020927, 0.023697, 0.020986]",0.0013196092856094432,0.021736,"[140.621, 143.355, 126.598, 142.952]",7.947565769886189,138.3815
8,3,9.0,"[0.019677, 0.021386, 0.023308, 0.021535]",0.0014837121239198207,0.0214765,"[152.462, 140.279, 128.711, 139.308]",9.715198917160668,140.19
9,3,10.0,"[0.021493, 0.022222, 0.022322, 0.020108]",0.0010213430292185543,0.02153625,"[139.58, 135.001, 134.397, 149.194]",6.837500761730606,139.543
10,3,11.0,"[0.022385, 0.022379, 0.02039, 0.034554]",0.006486333478938623,0.024926999999999998,"[134.018, 134.054, 147.131, 86.8206]",26.51869306809821,125.5059
11,3,12.0,"[0.022426, 0.020853, 0.022247, 0.021799]",0.0007034649363448523,0.02183125,"[133.773, 143.864, 134.85, 137.621]",4.52494014693381,137.527
12,3,13.0,"[0.026207, 0.024042, 0.020828, 0.022368]",0.002306918200399255,0.02336125,"[114.473, 124.782, 144.037, 134.12]",12.657706295639299,129.353
13,3,14.0,"[0.022416, 0.024874, 0.021625, 0.021346]",0.0016044981302575584,0.02256525,"[133.833, 120.608, 138.728, 140.542]",9.003988389412031,133.42775
14,3,15.0,"[0.021904, 0.023409, 0.021302, 0.024857]",0.0015948306075150005,0.022868,"[136.961, 128.156, 140.832, 120.69]",9.034103917009885,131.65975
15,3,16.0,"[0.023588, 0.024482, 0.02348, 0.023457]",0.0004901716536071829,0.023751750000000002,"[127.183, 122.539, 127.768, 127.894]",2.55683437085784,126.346
16,3,17.0,"[0.02452, 0.025055, 0.025059, 0.026272]",0.0007415481553255099,0.0252265,"[122.349, 119.737, 119.717, 114.19]",3.4355565657789247,118.99825
17,3,18.0,"[0.026321, 0.026626, 0.022906, 0.03588]",0.005559746119803195,0.02793325,"[113.977, 112.672, 130.97, 83.612]",19.65235114644895,110.30775
18,3,19.0,"[0.025774, 0.024501, 0.026559, 0.026191]",0.0008961738577604984,0.025756249999999998,"[116.396, 122.444, 112.956, 114.543]",4.151425728991587,116.58475
19,3,20.0,"[0.030758, 0.031508, 0.028441, 0.025857]",0.0025489889498910476,0.029141,"[97.5356, 95.2139, 105.482, 116.023]",9.39807038718587,103.563625
