,nStreams,time,throughput,nEvents
0,1.0,7.591177,658.659,5000
1,2.0,6.307784,792.671,5000
2,3.0,7.118067,702.438,5000
3,4.0,5.878218,850.598,5000
4,5.0,6.613885,755.985,5000
5,6.0,7.67203,651.718,5000
6,7.0,5.956524,839.416,5000
7,8.0,6.908786,723.716,5000
8,9.0,6.282084,795.914,5000
9,10.0,6.204978,805.805,5000
10,11.0,7.571686,660.355,5000
11,12.0,7.396955,675.954,5000
12,13.0,7.437278,672.289,5000
13,14.0,7.932136,630.347,5000
14,15.0,7.019066,712.345,5000
15,16.0,7.085906,705.626,5000
16,17.0,6.748642,740.89,5000
17,18.0,8.22231,608.102,5000
18,19.0,7.654375,653.221,5000
19,20.0,7.403503,675.356,5000
