,nStreams,time,throughput,nEvents
0,1.0,6.835622,731.462,5000
1,2.0,3.547443,1409.47,5000
2,3.0,3.210481,1557.4,5000
3,4.0,3.620892,1380.88,5000
4,5.0,3.353417,1491.02,5000
5,6.0,3.62429,1379.58,5000
6,7.0,3.344423,1495.03,5000
7,8.0,3.67499,1360.55,5000
8,9.0,3.660786,1365.83,5000
9,10.0,3.685673,1356.6,5000
10,11.0,3.498533,1429.17,5000
11,12.0,3.65757,1367.03,5000
12,13.0,3.96988,1259.48,5000
13,14.0,3.602628,1387.88,5000
14,15.0,3.692615,1354.05,5000
15,16.0,3.6739,1360.95,5000
16,17.0,4.039429,1237.8,5000
17,18.0,4.237136,1180.04,5000
18,19.0,3.78143,1322.25,5000
19,20.0,3.923068,1274.51,5000
