,nStreams,time,throughput,nEvents
0,1.0,229.0957,21.8249,5000
1,2.0,126.5561,39.5082,5000
2,3.0,125.6349,39.7979,5000
3,4.0,127.5052,39.2141,5000
4,5.0,124.6348,40.1172,5000
5,6.0,125.4072,39.8701,5000
6,7.0,125.7412,39.7642,5000
7,8.0,125.6544,39.7917,5000
8,9.0,125.8296,39.7363,5000
9,10.0,125.9069,39.7119,5000
10,11.0,125.2082,39.9335,5000
11,12.0,125.9938,39.6845,5000
12,13.0,127.7836,39.1287,5000
13,14.0,125.5023,39.8399,5000
14,15.0,127.3279,39.2687,5000
15,16.0,126.1917,39.6223,5000
16,17.0,125.9919,39.6851,5000
17,18.0,125.1877,39.94,5000
18,19.0,121.7151,41.0795,5000
19,20.0,125.5281,39.8317,5000
