,nEvents,nStreams,time,time_std,time_ave,throughput,tput_std,tput_ave
0,10000,1.0,"[12.78532, 12.63974, 12.80085, 12.92293]",0.11598410954379319,12.78721,"[782.147, 791.155, 781.198, 773.818]",7.10395854436102,782.0795
1,10000,2.0,"[8.269669, 8.355776, 8.203335, 8.139098]",0.09272603346238151,8.2419695,"[1209.24, 1196.78, 1219.02, 1228.64]",13.630485440120413,1213.42
2,10000,3.0,"[8.055766, 8.227741, 8.025107, 8.185153]",0.09821123853332653,8.12344175,"[1241.35, 1215.4, 1246.09, 1221.72]",14.879858870298381,1231.1399999999999
3,10000,4.0,"[8.21705, 8.121512, 8.195615, 8.082335]",0.06297721164040224,8.154128,"[1216.98, 1231.3, 1220.16, 1237.27]",9.483984306889832,1226.4275
4,10000,5.0,"[8.378503, 8.298027, 8.220378, 8.195274]",0.0828002242690201,8.2730455,"[1193.53, 1205.11, 1216.49, 1220.22]",12.060070135230038,1208.8375
5,10000,6.0,"[8.251408, 8.293322, 8.212099, 8.232835]",0.034560058593700205,8.247416,"[1211.91, 1205.79, 1217.72, 1214.65]",5.074178915515989,1212.5175
6,10000,7.0,"[8.298967, 8.235689, 8.059299, 8.239577]",0.10352162959819904,8.208383,"[1204.97, 1214.23, 1240.8, 1213.65]",15.5142480213082,1218.4125
7,10000,8.0,"[8.215156, 8.180643, 8.259908, 8.280997]",0.04502549038785289,8.234176,"[1217.26, 1222.4, 1210.67, 1207.58]",6.647828592856514,1214.4775
8,10000,9.0,"[8.250581, 8.443391, 8.567664, 8.610572]",0.16138597802163585,8.468052,"[1212.04, 1184.36, 1167.18, 1161.36]",22.739629870925043,1181.235
9,10000,10.0,"[8.676735, 8.724047, 8.776126, 8.883705]",0.08884899060156323,8.765153250000001,"[1152.51, 1146.26, 1139.45, 1125.66]",11.516107559993191,1140.97
10,10000,11.0,"[8.712707, 8.904276, 8.903409, 8.965597]",0.10979057744140296,8.871497250000001,"[1147.75, 1123.06, 1123.17, 1115.37]",14.089668496218573,1127.3375
11,10000,12.0,"[9.253541, 9.066461, 9.302515, 9.193377]",0.10196296345078748,9.2039735,"[1080.67, 1102.97, 1074.98, 1087.74]",12.103241989924292,1086.5900000000001
12,10000,13.0,"[9.227415, 9.186084, 9.334207, 9.315768]",0.07072092756037636,9.2658685,"[1083.73, 1088.6, 1071.33, 1073.45]",8.243305870017585,1079.2775
13,10000,14.0,"[9.065428, 8.969142, 8.932389, 8.865024]",0.0835970078666099,8.95799575,"[1103.09, 1114.93, 1119.52, 1128.03]",10.39724442660973,1116.3925
14,10000,15.0,"[8.933675, 8.9112, 8.979388, 9.072853]",0.0715788153343344,8.974279,"[1119.36, 1122.18, 1113.66, 1102.19]",8.845915724219823,1114.3475
15,10000,16.0,"[8.980846, 9.165886, 8.985709, 8.991934]",0.0899760127158902,9.03109375,"[1113.48, 1091.0, 1112.88, 1112.11]",10.926064784114491,1107.3675
16,10000,17.0,"[8.770058, 9.054846, 8.95416, 9.090051]",0.14353765414778785,8.96727875,"[1140.24, 1104.38, 1116.8, 1100.1]",18.023266444608026,1115.38
17,10000,18.0,"[9.086027, 9.099882, 8.847582, 8.974569]",0.11724447426638065,9.002015,"[1100.59, 1098.92, 1130.25, 1114.26]",14.554317801486492,1111.005
18,10000,19.0,"[9.022333, 8.982842, 9.116644, 8.974491]",0.06514288818947707,9.0240775,"[1108.36, 1113.23, 1096.89, 1114.27]",7.960043446280045,1108.1875
19,10000,20.0,"[8.896725, 8.692238, 8.450374, 8.640691]",0.18347874666202255,8.670007,"[1124.01, 1150.45, 1183.38, 1157.31]",24.399197220400556,1153.7875
